Title,Type,Availability,MSRP Currency,MSRP,Show Price Currency,Show Price,Publisher,Location,Priority,Notes,Thumbs,BGGId,BGGVersionId,Mfg Product Code,Release Date,Override Release Date,Events
Northgard: Uncharted Lands,Standalone,For Sale,USD,90,N/A,N/A,Shiro Games,2109 (Hachette Boardgames),N/A,N/A,55,274124,447421,,2022-08-04,,
Turing Machine,Standalone,For Sale,USD,40,N/A,N/A,Le Scorpion Masqué,2109 (Hachette Boardgames),N/A,N/A,48,356123,598404,TM01EN,2022-11-01,,
Fog of Love: Love on Lockdown,Expansion,For Sale,USD,15,N/A,N/A,Floodgate Games,439,N/A,N/A,9,345433,576274,,2022-06-00,,
Décorum,Standalone,For Sale,USD,45,N/A,N/A,Floodgate Games,439,N/A,N/A,35,344554,574899,,2022-04-00,,
Kites,Standalone,For Sale,USD,20,N/A,N/A,Floodgate Games,439,N/A,N/A,24,348096,581814,,2022-07-00,,
Sagrada: The Great Facades – Glory,Expansion,For Sale,USD,20,N/A,N/A,Floodgate Games,439,N/A,N/A,44,359142,604137,FGG-SA05,2022-08-00,,
Happy Hopping,Standalone,For Sale,USD,34,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,3,341702,569677,65503G,2022-04-00,,
The Dwarves Big Box,Standalone,For Sale,USD,65,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,5,302882,515480,51933G,0000-00-00,Q4 2020,
FYFE,Standalone,For Sale,USD,50,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,21,353150,591696,59056E,2022-07-00,,
Framework,Standalone,For Sale,USD,40,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,16,353152,599652,59055E,2022-03-00,,
Skymines,Standalone,For Sale,USD,70,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,39,359438,604687,,2022-09-00,,
Turtle Mania,Standalone,For Sale,USD,28,N/A,N/A,Pegasus Spiele,2635,N/A,N/A,8,270552,441663,65500G,2022-04-00,,
